celebrity_name,season,overall_avg_score,final_placement,avg_judge_disagreement,max_judge_disagreement,avg_judge_range,score_trend_slope,score_trend_r2,trend_category,last_2_weeks_momentum
Sara Evans,3,0.7,6,0.2309401076758503,0.5773502691896258,0.4,0.05666666666666666,0.4661290322580647,Improving,
Jerry Springer,3,0.6809523809523809,5,0.4315322774519558,1.0,0.7857142857142857,0.0261904761904762,0.34770114942528796,Stable,
Tucker Carlson,3,0.4,11,1.0,1.0,2.0,0.0,0.0,Insufficient_Data,
John Ratzenberger,4,0.6357142857142858,6,0.32991443953692906,0.5773502691896258,0.5714285714285714,0.01250000000000001,0.12614416475972512,No_Clear_Trend,
Ian Ziering,4,0.8092592592592592,4,0.23941117093102793,1.0,0.4444444444444444,0.023611111111111104,0.6466288782816227,Stable,
Clyde Drexler,4,0.5199999999999999,8,0.5464101615137754,1.0,1.0,-0.02999999999999997,0.6136363636363642,Stable,
Laila Ali,4,0.8744440000000001,3,0.26942627662003077,0.5773502691896258,0.4666600000000001,0.02464622222222231,0.4447967664076834,Stable,
Apolo Anton Ohno,4,0.8961106666666666,1,0.38679150602907625,0.5773502691896258,0.68334,0.026363393939393975,0.6486598036153663,Stable,
Shandi Finnessey,4,0.6666666666666666,10,0.3849001794597506,0.5773502691896258,0.6666666666666666,0.033333333333333215,1.0,Stable,
Paulina Porizkova,4,0.6666666666666666,11,0.2886751345948129,0.5773502691896258,0.5,0.0666666666666665,1.0,Insufficient_Data,
Heather Mills,4,0.7388888888888889,7,0.1924500897298753,0.5773502691896258,0.3333333333333333,0.014285714285714277,0.11978704525288386,No_Clear_Trend,
Billy Ray Cyrus,4,0.6333333333333333,5,0.21650635094610965,0.5773502691896258,0.375,0.011111111111111106,0.08333333333333359,No_Clear_Trend,
Joey Fatone,4,0.8922216666666667,2,0.192448165228978,0.5773502691896257,0.3333300000000001,0.02181787878787882,0.7106887966332756,Stable,
Leeza Gibbons,4,0.6333333333333333,9,0.14433756729740646,0.5773502691896258,0.25,0.020000000000000035,0.03333333333333344,No_Clear_Trend,
Cameron Mathison,5,0.8083333333333333,5,0.21650635094610965,0.5773502691896258,0.375,0.023412698412698427,0.5600064350064343,Stable,
Jane Seymour,5,0.8142857142857143,6,0.2886751345948128,0.5773502691896258,0.5,0.004761904761904784,0.019230769230769162,No_Clear_Trend,
Sabrina Bryan,5,0.9,7,0.38490017945975047,0.5773502691896257,0.6666666666666666,0.0038095238095237774,0.014285714285714568,No_Clear_Trend,
Jennie Garth,5,0.8425925925925927,4,0.36771123075094475,1.0,0.6666666666666666,0.024999999999999994,0.5763757115749526,Stable,
Floyd Mayweather Jr.,5,0.6916666666666667,9,0.14433756729740646,0.5773502691896258,0.25,0.050000000000000044,0.8823529411764708,Improving,
Josie Maran,5,0.5333333333333333,12,0.5773502691896258,0.5773502691896258,1.0,0.0,0.0,Insufficient_Data,
Albert Reed,5,0.7,11,0.0,0.0,0.0,0.0,0.0,Insufficient_Data,
Helio Castroneves,5,0.888333,1,0.23540259421636903,0.5773502691896258,0.4166600000000001,0.014646282828282883,0.3790062386487274,Stable,
Mel B,5,0.9077773333333333,2,0.22131567868845928,0.5773502691896258,0.3833300000000001,0.0195957171717172,0.5675829245623609,Stable,
Wayne Newton,5,0.5777777777777778,10,0.1924500897298753,0.5773502691896258,0.3333333333333333,-0.01666666666666683,0.05769230769230771,No_Clear_Trend,
Marie Osmond,5,0.8083333333333333,3,0.2886751345948129,0.5773502691896258,0.5,0.008181818181818252,0.10436649964209022,No_Clear_Trend,
Mark Cuban,5,0.6799999999999999,8,0.23094010767585033,0.5773502691896258,0.4,0.013333333333333398,0.17391304347826053,No_Clear_Trend,
Cristian de la Fuente,6,0.8250000000000002,3,0.3964101615137755,0.5773502691896258,0.7,0.022929292929292987,0.5161933383420987,Stable,
Steve Guttenberg,6,0.611111111111111,10,0.1924500897298753,0.5773502691896258,0.3333333333333333,0.04999999999999997,0.3552631578947363,Stable,
Priscilla Presley,6,0.76,8,0.2309401076758503,0.5773502691896258,0.4,-0.01666666666666668,0.13297872340425498,No_Clear_Trend,
Marlee Matlin,6,0.7444444444444445,7,0.1924500897298753,0.5773502691896258,0.3333333333333333,-0.007619047619047602,0.09795918367346934,No_Clear_Trend,
Shannon Elizabeth,6,0.8071428571428572,6,0.1649572197684645,0.5773502691896258,0.2857142857142857,0.014880952380952365,0.19980818414322232,No_Clear_Trend,
Marissa Jaret Winokur,6,0.7740740740740741,4,0.22452510468485448,0.5773502691896258,0.3888888888888889,0.03333333333333332,0.7736389684813753,Stable,
Jason Taylor,6,0.8716666666666667,2,0.31754264805429416,0.5773502691896258,0.55,0.014040404040404093,0.28970056827553115,No_Clear_Trend,
Kristi Yamaguchi,6,0.9400000000000001,1,0.30980762113533156,0.8660254037844386,0.55,0.007070707070707089,0.26327100795185965,No_Clear_Trend,
Monica Seles,6,0.5,11,0.0,0.0,0.0,9.930136612989092e-17,0.0,Insufficient_Data,
Penn Jillette,6,0.55,12,0.5773502691896258,0.5773502691896258,1.0,0.033333333333333305,1.0,Insufficient_Data,
Adam Carolla,6,0.6166666666666667,9,0.2886751345948129,0.5773502691896258,0.5,0.04666666666666665,0.5157894736842106,Stable,
Mario,6,0.8416666666666668,5,0.43042195912175807,1.0,0.8125,0.015476190476190485,0.26628151260504174,No_Clear_Trend,
Ted McGinley,7,0.6166666666666667,12,0.28867513459481287,0.28867513459481287,0.5,0.0,0.0,Insufficient_Data,
Cloris Leachman,7,0.5833333333333334,7,0.2886751345948129,0.5773502691896258,0.5,0.018095238095238077,0.1041847041847046,No_Clear_Trend,
Susan Lucci,7,0.7309523809523809,6,0.20619652471058064,0.5773502691896258,0.35714285714285715,0.025595238095238084,0.711153846153846,Stable,
Cody Linley,7,0.7611111111111112,4,0.32075014954979214,0.5773502691896258,0.5555555555555556,0.011666666666666678,0.17926829268292654,No_Clear_Trend,
Misty May-Treanor,7,0.7,10,0.25,0.5,0.5,0.0,0.0,Insufficient_Data,
Maurice Greene,7,0.7479166666666667,5,0.21650635094610968,0.5773502691896258,0.375,0.02361111111111115,0.34705781437639416,Stable,
Warren Sapp,7,0.8083333333333332,2,0.3675426480542942,0.5773502691896258,0.65,0.01303030303030304,0.2923320158102761,No_Clear_Trend,
Jeffrey Ross,7,0.4,13,0.0,0.0,0.0,0.0,0.0,Insufficient_Data,
Toni Braxton,7,0.7433333333333334,8,0.5618802153517006,0.5773502691896258,1.0,-0.006666666666666639,0.49999999999999756,Stable,
Lance Bass,7,0.8116666666666668,3,0.5480022096101982,1.1547005383792517,1.0,0.026565656565656574,0.6427569159859867,Stable,
Kim Kardashian,7,0.5916666666666667,11,0.43301270189221935,0.5773502691896258,0.75,-0.050000000000000086,1.0,Insufficient_Data,
Rocco DiSpirito,7,0.5958333333333333,9,0.36084391824351614,0.5773502691896258,0.625,0.01833333333333328,0.18473282442748096,No_Clear_Trend,
Brooke Burke,7,0.8983333333333334,1,0.40414518843273806,1.1547005383792517,0.7,0.01202020202020202,0.22959936443082496,No_Clear_Trend,
Gilles Marini,8,0.9227272727272727,2,0.1837023583785173,0.5773502691896257,0.3181818181818182,0.009999999999999964,0.3080622347949076,Stable,-0.033333333333333326
Denise Richards,8,0.611111111111111,12,0.1924500897298753,0.5773502691896258,0.3333333333333333,-0.03333333333333348,0.15789473684210464,No_Clear_Trend,
David Alan Grier,8,0.6933333333333334,9,0.46188021535170065,0.5773502691896258,0.8,0.03666666666666661,0.3928571428571427,Stable,
Lawrence Taylor,8,0.6571428571428571,7,0.5773502691896258,1.1547005383792517,1.0,0.022619047619047625,0.6016666666666666,Stable,
Ty Murray,8,0.7266666666666667,4,0.3175426480542941,0.5773502691896258,0.55,0.02424242424242427,0.364852538765582,Stable,
Shawn Johnson,8,0.881818181818182,1,0.3674047167570346,0.5773502691896258,0.6363636363636364,0.017575757575757522,0.7508928571428568,Stable,0.06666666666666665
Steve Wozniak,8,0.43333333333333335,10,0.4330127018922194,0.5773502691896258,0.75,-0.03333333333333337,0.19230769230769196,No_Clear_Trend,
Belinda Carlisle,8,0.5833333333333333,13,0.2886751345948129,0.5773502691896258,0.5,0.03333333333333318,1.0,Insufficient_Data,
Chuck Wicks,8,0.7645833333333333,6,0.4330127018922194,0.5773502691896258,0.75,0.02956349206349211,0.8015090797501713,Stable,
Lil' Kim,8,0.851851851851852,5,0.5922363354357993,1.1547005383792517,1.0555555555555556,0.021111111111111056,0.5699999999999998,Stable,
Steve-O,8,0.5277777777777778,8,0.44703762833853306,1.5275252316519465,0.8333333333333334,0.006666666666666675,0.06461538461538463,No_Clear_Trend,
Holly Madison,8,0.575,11,0.2886751345948129,0.5773502691896258,0.5,-0.02333333333333338,0.8909090909090911,Stable,
Melissa Rycroft,8,0.8893939393939394,3,0.31491832864888675,0.5773502691896258,0.5454545454545454,0.009090909090909056,0.16822429906542047,No_Clear_Trend,0.033333333333333326
Ashley Hamiliton,9,0.6333300000000001,16,1.0,1.0,2.0,0.0,0.0,Insufficient_Data,
Debi Mazar,9,0.6666666666666666,12,0.3849001794597506,0.5773502691896258,0.6666666666666666,-0.0833333333333335,0.8928571428571428,Declining,
Melissa Joan Hart,9,0.7611105555555556,9,0.481125224324688,0.5773502691896258,0.8333333333333331,0.019999523809523773,0.10707747853978644,No_Clear_Trend,
Mark Dacascos,9,0.8071419047619047,6,0.2886751345948129,0.5773502691896258,0.5,0.008929285714285773,0.013582744660085355,No_Clear_Trend,
Chuck Liddell,9,0.625,11,0.5773502691896258,0.5773502691896258,1.0,-0.056666666666666636,0.8626865671641791,Declining,
Natalie Coughlin,9,0.7999986666666666,10,0.34641016151377546,0.5773502691896258,0.6,-0.02333199999999993,0.18844869801566333,No_Clear_Trend,
Louie Vito,9,0.71111,8,0.6394877180684083,1.5275252316519465,1.1666666666666667,-0.009522857142857114,0.018960115542495215,No_Clear_Trend,
Michael Irvin,9,0.6452371428571428,7,0.5361109642475098,1.154700538379252,0.9285714285714287,0.029166190476190505,0.31826077432311217,Stable,
Joanna Krupa,9,0.901851111111111,4,0.3207501495497921,0.5773502691896258,0.5555555555555556,0.005000166666666646,0.006546873520024921,No_Clear_Trend,
Kathy Ireland,9,0.6333316666666666,14,0.2886751345948129,0.5773502691896258,0.5,-0.06666333333333352,1.0,Insufficient_Data,
Tom DeLay,9,0.5888877777777778,13,0.5257834230632086,1.0,1.0,-0.08333166666666679,0.986838988680194,Declining,
Macy Gray,9,0.6333300000000001,15,1.0,1.0,2.0,0.0,0.0,Insufficient_Data,
Aaron Carter,9,0.8604154166666667,5,0.3415063509461097,1.0,0.625,-0.003769801587301585,0.0029849812654026975,No_Clear_Trend,
Mya,9,0.9477766666666666,2,0.6818177558551382,1.7320508075688772,1.2166700000000001,-0.00040424242424238034,0.00023916188937678218,No_Clear_Trend,
Donny Osmond,9,0.8822206666666667,1,0.2501831921479405,0.5773502691896257,0.43332999999999994,0.0033667070707071286,0.00939313747777426,No_Clear_Trend,
Kelly Osbourne,9,0.8157386666666667,3,0.38358143853238197,0.5773502691896263,0.67778,0.006969696969697015,0.03553150602621524,No_Clear_Trend,
Aiden Turner,10,0.5875,9,0.2886751345948129,0.5773502691896258,0.5,0.018333333333333333,0.09641434262948234,No_Clear_Trend,
Shannen Doherty,10,0.6333333333333333,11,0.2886751345948129,0.5773502691896258,0.5,0.06666666666666658,1.0,Insufficient_Data,
Niecy Nash,10,0.6999991666666666,5,0.19716878364870322,1.0,0.375,0.022618809523809572,0.29983687188869645,No_Clear_Trend,
Buzz Aldrin,10,0.43333333333333335,10,0.3849001794597506,0.5773502691896258,0.6666666666666666,-0.01666666666666671,0.25,No_Clear_Trend,
Chad Ochocinco,10,0.7388885185185186,4,0.2773126025994279,0.7637626158259734,0.5,0.04027772222222222,0.47353925179442713,Stable,
Evan Lysacek,10,0.8762956666666666,2,0.26301768863202596,0.5773502691896258,0.45556,0.015959252525252588,0.6645963339235317,Stable,
Pamela Anderson,10,0.7809514285714286,6,0.5331501153669824,1.0,1.0,0.03511857142857146,0.4624125575347072,Stable,
Nicole Scherzinger,10,0.9359253333333333,1,0.696815738279042,1.5275252316519468,1.2777699999999999,0.018181656565656616,0.21522646500407128,No_Clear_Trend,
Erin Andrews,10,0.831666,3,0.3656590194885577,1.1547005383792517,0.6333400000000001,0.027575393939393983,0.3534835773928987,Stable,
Kate Gosselin,10,0.5133333333333333,8,0.17320508075688773,0.5773502691896258,0.3,-0.003333333333333327,0.08333333333333282,No_Clear_Trend,
Jake Pavelka,10,0.7111105555555556,7,0.3367876570272817,0.5773502691896258,0.5833333333333334,0.0304757142857142,0.5774422792952048,Stable,
David Hasselhoff,11,0.5,12,0.0,0.0,0.0,0.0,0.0,Insufficient_Data,
Florence Henderson,11,0.6366666666666667,8,0.2886751345948129,0.5773502691896258,0.5,0.015000000000000001,0.24695121951219545,No_Clear_Trend,
Kyle Massey,11,0.8248603333333333,2,0.5855259825136593,1.5275252316519465,1.0666699999999998,0.027954282828282873,0.47632343249376663,Stable,
Jennifer Grey,11,0.8995833333333334,1,0.16933756729740643,0.5773502691896257,0.3,0.024368686868686894,0.7819263319554266,Stable,
Rick Fox,11,0.7922619047619047,6,0.1896214670270894,0.5773502691896258,0.35714285714285715,0.03526785714285718,0.4330018501387606,Stable,
Kurt Warner,11,0.7343745833333334,5,0.3150907427704613,1.1547005383792517,0.5625,0.025892738095238125,0.40838813888787395,Stable,
Margaret Cho,11,0.5666666666666668,10,0.0,0.0,0.0,0.04999999999999988,0.7499999999999994,Stable,
Michael Bolton,11,0.4666666666666667,11,0.7886751345948129,1.0,1.5,-0.13333333333333333,1.0,Insufficient_Data,
Brandy,11,0.8865737037037037,4,0.21163339315325017,0.5773502691896258,0.3888888888888889,0.03513883333333333,0.43245819066518687,Stable,
The Situation,11,0.5583333333333333,9,0.21650635094610968,0.5773502691896258,0.375,-0.0033333333333333054,0.00219780219780219,No_Clear_Trend,
Audrina Patridge,11,0.8111099999999999,7,0.43301270189221935,0.5773502691896258,0.75,0.05904666666666664,0.5760239239947498,Improving,
Bristol Palin,11,0.7368046666666667,3,0.32329956358220396,0.5773502691896258,0.56667,0.03194428282828288,0.490487689346063,Stable,
Ralph Macchio,12,0.7731481481481481,4,0.2320969885935519,0.6454972243679028,0.4444444444444444,0.006944444444444439,0.13909495548961426,No_Clear_Trend,
Chelsea Kane,12,0.8655553333333333,3,0.4487488216159813,1.0,0.83334,0.0456564444444445,0.6673265232987162,Stable,
Kirstie Alley,12,0.7966663333333333,2,0.37527767497325676,0.5773502691896258,0.65,0.02545436363636366,0.7033476663388074,Stable,
Hines Ward,12,0.8647220000000001,1,0.24245393873166982,0.5773502691896258,0.43333999999999995,0.027525131313131317,0.8039487471180004,Stable,
Sugar Ray Leonard,12,0.625,9,0.4330127018922194,0.5773502691896258,0.75,0.049999999999999975,0.8823529411764703,Stable,
Chris Jericho,12,0.7444444444444445,7,0.4811252243246882,0.5773502691896258,0.8333333333333334,0.024761904761904742,0.35331010452961653,Stable,
Petra Nemcova,12,0.7066666666666667,8,0.34641016151377546,0.5773502691896258,0.6,0.04333333333333329,0.43556701030927814,Stable,
Mike Catherwood,12,0.5,11,0.5773502691896258,0.5773502691896258,1.0,0.13333333333333336,1.0,Insufficient_Data,
Romeo,12,0.78125,5,0.5201281300245538,0.5773502691896258,0.9375,0.02916666666666669,0.481967213114754,Stable,
Wendy Williams,12,0.5111111111111111,10,0.3849001794597506,0.5773502691896258,0.6666666666666666,0.016666666666666607,0.10714285714285654,No_Clear_Trend,
Kendra Wilkinson,12,0.7041666666666667,6,0.3656287252512147,0.5773502691896258,0.6428571428571429,0.030505952380952425,0.50535113035113,Stable,
Elisabetta Canalis,13,0.6,11,0.0,0.0,0.0,0.19999999999999993,1.0,Insufficient_Data,
David Arquette,13,0.7357142857142858,6,0.2886751345948129,0.5773502691896258,0.5,0.03273809523809526,0.5488026124818578,Stable,
Ricki Lake,13,0.886666,3,0.3175426480542942,0.5773502691896258,0.55,0.02787846464646468,0.46203778791325556,Stable,
J.R. Martinez,13,0.8772216666666667,1,0.45073606520778126,0.5773502691896258,0.8,0.02272696969696976,0.5275924614327125,Stable,
Metta World Peace (Ron),13,0.4666666666666667,12,0.5773502691896258,0.5773502691896258,1.0,0.0,0.0,Insufficient_Data,
Hope Solo,13,0.7685177777777779,4,0.1924500897298753,0.5773502691896258,0.3333333333333333,0.01833288888888883,0.3843390083196583,Stable,
Chynna Phillips,13,0.75,9,0.28867513459481287,0.5773502691896258,0.5,0.0066666666666666515,0.011764705882352344,No_Clear_Trend,
Kristin Cavallari,13,0.7222222222222223,10,0.3849001794597506,0.5773502691896258,0.6666666666666666,0.08333333333333327,0.986842105263158,Improving,
Carson Kressley,13,0.6466666666666666,8,0.46188021535170065,0.5773502691896258,0.8,0.020000000000000007,0.16981132075471717,No_Clear_Trend,
Chaz Bono,13,0.6277777777777778,7,0.2886751345948129,0.5773502691896258,0.5,0.0238095238095238,0.5304101838755311,Stable,
Nancy Grace,13,0.7041666666666666,5,0.46650635094610965,1.0,0.875,0.02261904761904762,0.5244552058111375,Stable,
Rob Kardashian,13,0.8127766666666666,2,0.252072594216369,0.5773502691896258,0.45,0.04050452525252529,0.7080088599343757,Stable,
William Levy,14,0.9255553333333333,3,0.4656590194885575,1.1547005383792517,0.83334,0.020605939393939433,0.23932410764490952,No_Clear_Trend,
Jack Wagner,14,0.7555555555555555,11,0.1924500897298753,0.5773502691896258,0.3333333333333333,0.01666666666666659,0.10714285714285576,No_Clear_Trend,
Sherri Sheperd,14,0.7583333333333333,10,0.2886751345948129,0.5773502691896258,0.5,-0.01666666666666681,0.26315789473684315,No_Clear_Trend,
Jaleel White,14,0.8642847619047619,7,0.4838216208497327,0.5773502691896258,0.8571428571428571,0.03273761904761905,0.17071087317029143,No_Clear_Trend,
Roshon Fegan,14,0.8666658333333334,6,0.5645674206948176,0.7637626158259734,1.0,0.017460079365079408,0.6402226331075995,Stable,
Melissa Gilbert,14,0.7749999999999999,5,0.25259074277046134,0.5773502691896258,0.4375,0.028968253968254,0.4015220012055456,Stable,
Martina Navratilova,14,0.6166666666666667,12,0.5773502691896258,0.5773502691896258,1.0,-0.1,1.0,Insufficient_Data,
Donald Driver,14,0.9038883333333333,1,0.28471891181270725,1.0,0.5333399999999999,0.02474733333333334,0.4342202010912327,Stable,
Gavin DeGraw,14,0.7133333333333334,9,0.3464101615137755,0.5773502691896258,0.6,-4.491073263034831e-17,-2.220446049250313e-16,No_Clear_Trend,
Gladys Knight,14,0.7333333333333334,8,0.4811252243246882,1.1547005383792517,0.8333333333333334,0.009523809523809502,0.06493506493506518,No_Clear_Trend,
Katherine Jenkins,14,0.9516663333333334,2,0.39641016151377545,0.5773502691896257,0.7,0.012424222222222224,0.07680674745570537,No_Clear_Trend,
Maria Menounos,14,0.8907403703703702,4,0.4083807200603269,1.1547005383792517,0.7222222222222222,0.0252777222222222,0.5943342421549892,Stable,
Gilles Marini,15,0.9298020833333334,6,0.11669046328848257,0.2886751345948129,0.21875,0.03236821428571435,0.6261988759578239,Stable,
Sabrina Bryan,15,0.8881944444444444,8,0.08977918909913547,0.2886751345948129,0.16666666666666666,0.04607142857142855,0.9047390835959445,Stable,
Kirstie Alley,15,0.80729125,7,0.10825317547305482,0.5773502691896257,0.1875,0.03759900793650796,0.7481185437820246,Stable,
Kelly Monaco,15,0.906434,3,0.1411717637270637,0.28867513459481287,0.2583399999999999,0.02743769696969699,0.3856285283968528,Stable,
Apolo Anton Ohno,15,0.9148655555555555,5,0.2426934568422507,0.5,0.46604444444444443,0.03327894444444443,0.6848764303566529,Stable,
Emmitt Smith,15,0.9039085185185185,4,0.22630206051336024,0.5773502691896257,0.3919666666666666,0.02675888888888886,0.4198295204001591,Stable,
Shawn Johnson,15,0.9455079999999999,2,0.46341112050547795,0.8552853110707174,0.89444,0.025361535353535383,0.3146442438764898,Stable,
Pamela Anderson,15,0.5666666666666667,13,0.28867513459481287,0.28867513459481287,0.5,0.0,0.0,Insufficient_Data,
Helio Castroneves,15,0.7777777777777778,10,0.19245008972987523,0.28867513459481287,0.3333333333333333,0.06666666666666649,0.979591836734694,Improving,
Joey Fatone,15,0.7166666666666667,12,0.14433756729740643,0.28867513459481287,0.25,0.06666666666666661,1.0,Insufficient_Data,
Drew Lachey,15,0.7555555555555555,11,0.09622504486493762,0.28867513459481287,0.16666666666666666,0.04166666666666649,0.9868421052631576,Stable,
Bristol Palin,15,0.7,9,0.0,0.0,0.0,0.05999999999999999,0.7199999999999995,Improving,
Melissa Rycroft,15,0.9470356666666666,1,0.14593682754306167,0.2886751345948129,0.25276999999999994,0.03271545454545455,0.4007253700364891,Stable,
Ingo Rademacher,16,0.75,5,0.28867513459481287,0.5773502691896258,0.5,0.023333333333333338,0.84,Stable,
Zendaya,16,0.9099993333333334,2,0.2309401076758503,0.5773502691896257,0.4,0.017777979797979834,0.5925982785503012,Stable,
Dorothy Hamill,16,0.6,12,0.0,0.0,0.0,-0.1999999999999998,1.0,Insufficient_Data,
Victor Ortiz,16,0.6555555555555556,8,0.14433756729740646,0.5773502691896258,0.25,0.013333333333333244,0.13124999999999976,No_Clear_Trend,
Alexandra Raisman,16,0.8816666666666666,4,0.2886751345948129,0.5773502691896258,0.5,0.030606060606060657,0.7009551295265579,Stable,
Jacoby Jones,16,0.839999,3,0.23094010767585033,0.5773502691896258,0.4,0.024848505050505097,0.6358680808429948,Stable,
D. L. Hughley,16,0.5533333333333335,9,0.23094010767585033,0.5773502691896258,0.4,0.05666666666666667,0.6689814814814816,Improving,
Andy Dick,16,0.6309523809523808,7,0.2886751345948129,0.5773502691896258,0.5,0.0035714285714285835,0.015151515151514472,No_Clear_Trend,
Wynonna Judd,16,0.5666666666666667,11,0.0,0.0,0.0,-0.050000000000000086,0.7499999999999994,Declining,
Kellie Pickler,16,0.8916666666666668,1,0.41389092110863823,1.0408329997330665,0.75,0.02494949494949501,0.7883827615170894,Stable,
Lisa Vanderpump,16,0.625,10,0.0,0.0,0.0,0.009999999999999978,0.06666666666666654,No_Clear_Trend,
Sean Lowe,16,0.7166666666666667,6,0.25259074277046134,0.5773502691896258,0.4375,0.017460317460317495,0.44322344322344254,Stable,
Valerie Harper,17,0.6166666666666667,10,0.2886751345948129,0.5773502691896258,0.5,-0.04000000000000003,0.5538461538461539,Stable,
Brant Daugherty,17,0.8604166666666667,7,0.21650635094610968,0.5773502691896258,0.375,0.0319444444444445,0.459372286316834,Stable,
Elizabeth Berkley Lauren,17,0.8851844444444446,6,0.28867513459481287,0.5773502691896257,0.5,0.01388877777777773,0.225367589275558,No_Clear_Trend,
Leah Remini,17,0.8295830000000001,5,0.16933756729740645,0.5773502691896258,0.3,0.017146444444444485,0.41569437004937027,Stable,
Corbin Bleu,17,0.9220948484848485,2,0.28515921326801175,0.5773502691896257,0.5,0.016161212121212066,0.7431899105738718,Stable,0.05137999999999998
Amber Riley,17,0.9210851515151517,1,0.345295561255967,1.5275252316519468,0.6363636363636364,0.01641393939393933,0.35674941220942114,Stable,0.05693999999999999
Keyshawn Johnson,17,0.5833333333333333,12,0.2886751345948129,0.5773502691896258,0.5,0.03333333333333318,1.0,Insufficient_Data,
Bill Engvall,17,0.7575751515151515,4,0.10497277621629554,0.5773502691896252,0.18181818181818174,0.012575606060606046,0.308921254472751,Stable,0.09999666666666651
Christina Milian,17,0.8333333333333334,9,0.4618802153517006,0.5773502691896258,0.8,0.0366666666666667,0.6049999999999996,Stable,
"Nicole ""Snooki"" Polizzi",17,0.838095238095238,8,0.24743582965269678,0.5773502691896258,0.42857142857142855,0.040476190476190464,0.6568181818181817,Stable,
Jack Osbourne,17,0.8700748484848485,3,0.2256409825062616,0.5773502691896258,0.4090909090909091,0.019393787878787854,0.5955359185502533,Stable,0.045829999999999926
Bill Nye,17,0.5222222222222221,11,0.5773502691896258,0.5773502691896258,1.0,0.03333333333333324,0.4285714285714285,Stable,
Billy Dee Williams,18,0.5,10,0.0,0.0,0.0,9.930136612989092e-17,0.0,Insufficient_Data,
Danica McKellar,18,0.878125,6,0.1856998199566861,0.5773502691896257,0.375,0.020535714285714345,0.5164334526521317,Stable,
James Maslow,18,0.8875,4,0.33280192090800675,0.816496580927726,0.7,0.01873737373737379,0.4694360600944728,Stable,
